,Class,Entropy,Skewness,Kurtosis,Contrast,Energy,Homogeneity,Dissimilarity,Correlation
655,1,6.716568748300758,-1.9042613113583324,-1.9042613113583324,14.0590103657045,0.059839255187461936,0.5837395847906046,1.4925276724559686,0.9961265214277247
656,1,7.341968100389066,0.4877007457285579,0.4877007457285579,3.790289414138943,0.06114247563605483,0.6260339868697397,1.1034391817514675,0.9994066933728877
657,1,7.280142205199314,-0.9235065269301279,-0.9235065269301279,5.162751498287671,0.056260218795697835,0.6421910226995242,1.170495199363992,0.9990759459906283
658,1,6.736576727147957,0.20898618459472545,0.20898618459472545,11.953415484344424,0.18307306251928462,0.6414684830682168,1.614779537671233,0.9990162636935075
659,1,7.149110751531493,0.463706057661184,0.463706057661184,4.829848795254403,0.1359013167754086,0.6480577796640972,1.147684534001957,0.99953976792867
660,1,7.231415443259629,-0.1902050248491458,-0.1902050248491458,5.580983977495107,0.04943258743910035,0.6815304935790515,1.0275272137964773,0.9982368501416098
661,1,7.451826742948102,-0.35642885358403653,-0.35642885358403653,7.164773422211351,0.04137454617621079,0.5861415079270971,1.4713184931506846,0.9985711287823004
662,1,7.364346949681691,0.2665775336344918,0.2665775336344918,2.976665698385519,0.0635479109081008,0.6636462749955402,0.9491537732387475,0.9995636312696119
663,1,7.041455673964443,-0.014014883766665574,-0.014014883766665574,4.854769294275929,0.1507336953552989,0.6421328800997421,1.1511015472113504,0.9994369856516818
664,1,7.439621717629309,-0.2782874261971585,-0.2782874261971585,3.099055161448141,0.056859198164801145,0.6645916437483075,0.9696443860078277,0.9994915358968202
665,1,7.436392438985091,-0.14773926045259103,-0.14773926045259103,2.155546722113503,0.048029229177726694,0.6742657657743023,0.8586564334637965,0.9996164640004053
666,1,6.262962402166875,-2.3511652699113657,-2.3511652699113657,42.80721777152642,0.09014904510102002,0.6398615006470404,1.7263484589041096,0.985754682466956
667,1,6.8378600615782545,-0.8244164531630582,-0.8244164531630582,8.335505595645792,0.05434905607800898,0.5919574453720806,1.4123004831213304,0.9963095773738987
668,1,7.425185840411782,0.329920596331728,0.329920596331728,3.515560023238747,0.07863091405540791,0.656610962346588,1.027691566780822,0.9996555473766192
669,1,6.72942432172503,-1.4870427067041172,-1.4870427067041172,22.03184625733855,0.06214278341114266,0.6539361275117272,1.4165774828767121,0.9930862703579119
